Round,nodes alive,sent,avg energy,max energy,min energy
1060,0,0,0.989898,0.997263,0.812154
1065,0,0,0.989850,0.997252,0.811178
1070,0,0,0.989803,0.997242,0.810202
1075,0,0,0.989752,0.997226,0.809410
1080,0,0,0.989707,0.997206,0.808805
1085,0,0,0.989659,0.997195,0.807829
1090,0,0,0.989612,0.997185,0.806853
1095,0,0,0.989564,0.997174,0.805877
1100,0,0,0.989516,0.997149,0.805456
1105,0,0,0.989468,0.997139,0.804480
1110,0,0,0.989421,0.997128,0.803504
1115,0,0,0.989373,0.997117,0.802528
1120,0,0,0.989323,0.997096,0.801920
1125,0,0,0.989275,0.997085,0.800944
1130,0,0,0.989227,0.997074,0.799968
1135,0,0,0.989179,0.997064,0.798992
1140,0,0,0.989134,0.997050,0.798203
1145,0,0,0.989086,0.997039,0.797227
1150,0,0,0.989038,0.997029,0.796251
1155,0,0,0.988991,0.997012,0.795459
1160,0,0,0.988946,0.996998,0.794671
1165,0,0,0.988898,0.996988,0.793695
1170,0,0,0.988850,0.996977,0.792719
1175,0,0,0.988802,0.996966,0.791743
1180,0,0,0.988755,0.996950,0.790951
1185,0,0,0.988710,0.996936,0.790162
1190,0,0,0.988662,0.996926,0.789186
1195,0,0,0.988611,0.996910,0.788394
1200,0,0,0.988564,0.996899,0.787418
1205,0,0,0.988517,0.996883,0.786626
1210,0,0,0.988469,0.996872,0.785650
1215,0,0,0.988418,0.996856,0.784857
1220,0,0,0.988373,0.996842,0.784069
1225,0,0,0.988325,0.996832,0.783093
1230,0,0,0.988277,0.996821,0.782117
1235,0,0,0.988230,0.996804,0.781325
1240,0,0,0.988179,0.996789,0.780532
1245,0,0,0.988132,0.996778,0.779557
1250,0,0,0.988086,0.996764,0.778768
1255,0,0,0.988038,0.996754,0.777792
1260,0,0,0.987988,0.996732,0.777184
1265,0,0,0.987941,0.996721,0.776208
1270,0,0,0.987893,0.996711,0.775232
1275,0,0,0.987847,0.996697,0.774443
1280,0,0,0.987800,0.996680,0.773651
1285,0,0,0.987753,0.996670,0.772675
1290,0,0,0.987702,0.996654,0.771883
1295,0,0,0.987654,0.996643,0.770907
1300,0,0,0.987609,0.996630,0.770118
1305,0,0,0.987562,0.996613,0.769326
1310,0,0,0.987514,0.996602,0.768350
1315,0,0,0.987463,0.996587,0.767558
1320,0,0,0.987418,0.996573,0.766769
1325,0,0,0.987370,0.996562,0.765793
1330,0,0,0.987322,0.996552,0.764817
1335,0,0,0.987272,0.996530,0.764209
1340,0,0,0.987224,0.996519,0.763233
1345,0,0,0.987177,0.996509,0.762257
1350,0,0,0.987129,0.996498,0.761281
1355,0,0,0.987081,0.996487,0.760305
1360,0,0,0.987036,0.996468,0.759700
1365,0,0,0.986988,0.996457,0.758724
