Round,nodes alive,sent,avg energy,max energy,min energy
1195,0,0,0.995039,0.999044,0.868431
1200,0,0,0.995018,0.999040,0.867882
1205,0,0,0.994996,0.999036,0.867327
1210,0,0,0.994975,0.999032,0.866774
1215,0,0,0.994955,0.999028,0.866228
1220,0,0,0.994935,0.999024,0.865689
1225,0,0,0.994916,0.999021,0.865146
1230,0,0,0.994895,0.999017,0.864596
1235,0,0,0.994874,0.999013,0.864045
1240,0,0,0.994853,0.999010,0.863496
1245,0,0,0.994832,0.999006,0.862943
1250,0,0,0.994811,0.999002,0.862391
1255,0,0,0.994789,0.998998,0.861831
1260,0,0,0.994769,0.998994,0.861282
1265,0,0,0.994748,0.998990,0.860737
1270,0,0,0.994728,0.998986,0.860188
1275,0,0,0.994707,0.998982,0.859639
1280,0,0,0.994686,0.998978,0.859090
1285,0,0,0.994665,0.998974,0.858539
1290,0,0,0.994644,0.998970,0.857988
1295,0,0,0.994623,0.998966,0.857434
1300,0,0,0.994602,0.998961,0.856876
1305,0,0,0.994581,0.998958,0.856330
1310,0,0,0.994561,0.998954,0.855781
1315,0,0,0.994540,0.998950,0.855231
1320,0,0,0.994520,0.998946,0.854684
1325,0,0,0.994499,0.998941,0.854136
1330,0,0,0.994479,0.998937,0.853585
1335,0,0,0.994458,0.998934,0.853043
1340,0,0,0.994437,0.998930,0.852489
1345,0,0,0.994416,0.998925,0.851935
1350,0,0,0.994396,0.998921,0.851388
1355,0,0,0.994375,0.998917,0.850834
1360,0,0,0.994355,0.998913,0.850288
1365,0,0,0.994333,0.998909,0.849732
1370,0,0,0.994312,0.998905,0.849178
1375,0,0,0.994291,0.998901,0.848626
1380,0,0,0.994271,0.998897,0.848085
1385,0,0,0.994250,0.998893,0.847530
1390,0,0,0.994229,0.998889,0.846982
1395,0,0,0.994209,0.998885,0.846436
1400,0,0,0.994189,0.998881,0.845891
1405,0,0,0.994168,0.998877,0.845341
1410,0,0,0.994147,0.998873,0.844789
1415,0,0,0.994127,0.998869,0.844242
1420,0,0,0.994106,0.998865,0.843696
1425,0,0,0.994086,0.998861,0.843151
1430,0,0,0.994065,0.998857,0.842595
1435,0,0,0.994044,0.998853,0.842041
1440,0,0,0.994024,0.998849,0.841499
1445,0,0,0.994003,0.998845,0.840946
1450,0,0,0.993983,0.998841,0.840399
1455,0,0,0.993963,0.998837,0.839853
1460,0,0,0.993942,0.998834,0.839307
1465,0,0,0.993921,0.998829,0.838757
1470,0,0,0.993901,0.998825,0.838208
1475,0,0,0.993879,0.998821,0.837655
1480,0,0,0.993858,0.998817,0.837105
1485,0,0,0.993837,0.998812,0.836555
1490,0,0,0.993817,0.998808,0.836006
1495,0,0,0.993796,0.998804,0.835450
1500,0,0,0.993775,0.998800,0.834907
1505,0,0,0.993755,0.998797,0.834361
1510,0,0,0.993734,0.998792,0.833809
1515,0,0,0.993714,0.998788,0.833263
1520,0,0,0.993693,0.998784,0.832713
1525,0,0,0.993672,0.998780,0.832158
1530,0,0,0.993651,0.998776,0.831610
1535,0,0,0.993630,0.998772,0.831061
1540,0,0,0.993610,0.998768,0.830514
1545,0,0,0.993588,0.998764,0.829958
1550,0,0,0.993566,0.998760,0.829398
1555,0,0,0.993545,0.998756,0.828849
1560,0,0,0.993524,0.998752,0.828290
1565,0,0,0.993504,0.998748,0.827746
1570,0,0,0.993482,0.998745,0.827198
1575,0,0,0.993462,0.998740,0.826649
1580,0,0,0.993441,0.998736,0.826100
1585,0,0,0.993420,0.998732,0.825548
1590,0,0,0.993400,0.998729,0.824996
1595,0,0,0.993379,0.998725,0.824450
1600,0,0,0.993358,0.998721,0.823900
1605,0,0,0.993337,0.998717,0.823347
1610,0,0,0.993317,0.998713,0.822798
1615,0,0,0.993295,0.998709,0.822250
1620,0,0,0.993275,0.998705,0.821703
1625,0,0,0.993254,0.998701,0.821150
1630,0,0,0.993234,0.998697,0.820603
1635,0,0,0.993212,0.998693,0.820049
1640,0,0,0.993192,0.998689,0.819501
1645,0,0,0.993172,0.998684,0.818956
1650,0,0,0.993151,0.998681,0.818405
1655,0,0,0.993131,0.998677,0.817856
1660,0,0,0.993110,0.998673,0.817308
1665,0,0,0.993089,0.998670,0.816757
1670,0,0,0.993070,0.998666,0.816212
1675,0,0,0.993049,0.998662,0.815663
1680,0,0,0.993028,0.998658,0.815115
1685,0,0,0.993007,0.998654,0.814558
1690,0,0,0.992987,0.998650,0.814013
1695,0,0,0.992966,0.998646,0.813463
1700,0,0,0.992945,0.998642,0.812909
1705,0,0,0.992924,0.998638,0.812363
1710,0,0,0.992904,0.998634,0.811817
1715,0,0,0.992883,0.998629,0.811271
1720,0,0,0.992862,0.998625,0.810719
1725,0,0,0.992842,0.998621,0.810173
1730,0,0,0.992821,0.998617,0.809626
1735,0,0,0.992801,0.998613,0.809079
1740,0,0,0.992780,0.998610,0.808526
1745,0,0,0.992760,0.998605,0.807985
1750,0,0,0.992740,0.998601,0.807436
1755,0,0,0.992719,0.998597,0.806885
1760,0,0,0.992698,0.998593,0.806333
1765,0,0,0.992678,0.998589,0.805788
1770,0,0,0.992657,0.998585,0.805242
1775,0,0,0.992637,0.998582,0.804694
1780,0,0,0.992617,0.998577,0.804147
1785,0,0,0.992597,0.998573,0.803605
1790,0,0,0.992577,0.998569,0.803064
1795,0,0,0.992557,0.998564,0.802518
1800,0,0,0.992536,0.998561,0.801971
1805,0,0,0.992516,0.998557,0.801419
1810,0,0,0.992493,0.998553,0.800861
1815,0,0,0.992473,0.998549,0.800310
1820,0,0,0.992453,0.998545,0.799762
1825,0,0,0.992431,0.998541,0.799209
1830,0,0,0.992410,0.998537,0.798662
1835,0,0,0.992390,0.998534,0.798111
1840,0,0,0.992369,0.998530,0.797561
1845,0,0,0.992349,0.998526,0.797013
1850,0,0,0.992328,0.998522,0.796467
1855,0,0,0.992308,0.998518,0.795919
1860,0,0,0.992286,0.998514,0.795363
1865,0,0,0.992266,0.998510,0.794815
1870,0,0,0.992246,0.998506,0.794266
1875,0,0,0.992225,0.998502,0.793713
1880,0,0,0.992203,0.998498,0.793163
1885,0,0,0.992184,0.998493,0.792621
1890,0,0,0.992163,0.998489,0.792072
1895,0,0,0.992143,0.998485,0.791521
1900,0,0,0.992123,0.998481,0.790971
1905,0,0,0.992102,0.998477,0.790420
1910,0,0,0.992081,0.998473,0.789868
1915,0,0,0.992059,0.998468,0.789314
1920,0,0,0.992038,0.998465,0.788762
1925,0,0,0.992016,0.998461,0.788207
1930,0,0,0.991995,0.998456,0.787658
1935,0,0,0.991974,0.998453,0.787106
1940,0,0,0.991953,0.998449,0.786557
1945,0,0,0.991932,0.998445,0.786003
1950,0,0,0.991912,0.998441,0.785459
1955,0,0,0.991890,0.998438,0.784905
1960,0,0,0.991870,0.998434,0.784353
1965,0,0,0.991849,0.998430,0.783807
1970,0,0,0.991829,0.998426,0.783262
1975,0,0,0.991808,0.998422,0.782710
1980,0,0,0.991787,0.998419,0.782156
1985,0,0,0.991766,0.998414,0.781599
1990,0,0,0.991744,0.998410,0.781038
1995,0,0,0.991723,0.998406,0.780490
2000,0,0,0.991703,0.998402,0.779943
2005,0,0,0.991683,0.998398,0.779403
2010,0,0,0.991663,0.998394,0.778851
2015,0,0,0.991642,0.998390,0.778301
