Round,nodes alive,sent,avg energy,max energy,min energy
3220,0,0,0.971175,0.995586,0.241410
3230,0,0,0.971087,0.995572,0.239188
3240,0,0,0.970996,0.995558,0.236734
3250,0,0,0.970908,0.995544,0.234512
3260,0,0,0.970818,0.995531,0.232058
3270,0,0,0.970727,0.995518,0.229604
3280,0,0,0.970639,0.995503,0.227383
3290,0,0,0.970548,0.995490,0.224929
3300,0,0,0.970461,0.995476,0.222707
3310,0,0,0.970370,0.995462,0.220253
3320,0,0,0.970282,0.995448,0.218031
3330,0,0,0.970191,0.995435,0.215578
3340,0,0,0.970103,0.995421,0.213356
3350,0,0,0.970013,0.995407,0.210902
3360,0,0,0.969925,0.995393,0.208680
3370,0,0,0.969834,0.995380,0.206226
3380,0,0,0.969743,0.995366,0.203772
3390,0,0,0.969656,0.995352,0.201551
3400,0,0,0.969565,0.995339,0.199097
3410,0,0,0.969477,0.995325,0.196875
3420,0,0,0.969386,0.995311,0.194421
3430,0,0,0.969298,0.995297,0.192199
3440,0,0,0.969208,0.995284,0.189746
3450,0,0,0.969120,0.995269,0.187524
3460,0,0,0.969029,0.995256,0.185070
3470,0,0,0.968941,0.995242,0.182848
3480,0,0,0.968851,0.995229,0.180394
3490,0,0,0.968760,0.995215,0.177941
3500,0,0,0.968672,0.995201,0.175719
3510,0,0,0.968581,0.995188,0.173265
3520,0,0,0.968494,0.995173,0.171043
3530,0,0,0.968403,0.995160,0.168589
3540,0,0,0.968312,0.995147,0.166135
3550,0,0,0.968224,0.995133,0.163914
3560,0,0,0.968134,0.995119,0.161460
3570,0,0,0.968046,0.995105,0.159238
3580,0,0,0.967955,0.995092,0.156784
3590,0,0,0.967867,0.995077,0.154562
3600,0,0,0.967777,0.995064,0.152109
3610,0,0,0.967689,0.995050,0.149887
3620,0,0,0.967598,0.995037,0.147433
3630,0,0,0.967510,0.995022,0.145211
3640,0,0,0.967419,0.995009,0.142757
3650,0,0,0.967329,0.994996,0.140303
3660,0,0,0.967241,0.994982,0.138082
3670,0,0,0.967150,0.994968,0.135628
3680,0,0,0.967062,0.994954,0.133406
3690,0,0,0.966972,0.994941,0.130952
3700,0,0,0.966884,0.994926,0.128730
3710,0,0,0.966793,0.994913,0.126277
3720,0,0,0.966705,0.994899,0.124055
3730,0,0,0.966615,0.994886,0.121601
3740,0,0,0.966523,0.994872,0.119147
3750,0,0,0.966436,0.994858,0.116925
3760,0,0,0.966345,0.994845,0.114472
3770,0,0,0.966257,0.994830,0.112250
3780,0,0,0.966167,0.994817,0.109796
3790,0,0,0.966079,0.994803,0.107574
3800,0,0,0.965988,0.994790,0.105120
3810,0,0,0.965900,0.994775,0.102899
3820,0,0,0.965810,0.994762,0.100445
3830,0,0,0.965722,0.994748,0.098223
3840,0,0,0.965631,0.994735,0.095769
3850,0,0,0.965540,0.994721,0.093315
3860,0,0,0.965452,0.994707,0.091093
3870,0,0,0.965362,0.994694,0.088640
3880,0,0,0.965274,0.994679,0.086418
3890,0,0,0.965183,0.994666,0.083964
3900,0,0,0.965092,0.994653,0.081510
3910,0,0,0.965005,0.994639,0.079288
3920,0,0,0.964914,0.994625,0.076834
3930,0,0,0.964826,0.994611,0.074613
3940,0,0,0.964736,0.994598,0.072159
3950,0,0,0.964647,0.994583,0.069937
3960,0,0,0.964557,0.994570,0.067483
3970,0,0,0.964466,0.994557,0.065029
3980,0,0,0.964378,0.994543,0.062808
3990,0,0,0.964287,0.994529,0.060354
4000,0,0,0.964200,0.994515,0.058132
4010,0,0,0.964109,0.994502,0.055678
4020,0,0,0.964018,0.994489,0.053224
4030,0,0,0.963931,0.994474,0.051003
4040,0,0,0.963840,0.994461,0.048549
4050,0,0,0.963752,0.994447,0.046327
4060,0,0,0.963661,0.994433,0.043873
4070,0,0,0.963573,0.994419,0.041651
4080,0,0,0.963483,0.994406,0.039197
4090,0,0,0.963392,0.994393,0.036744
4100,0,0,0.963304,0.994378,0.034522
4110,0,0,0.963213,0.994365,0.032068
4120,0,0,0.963125,0.994351,0.029846
4130,0,0,0.963035,0.994337,0.027392
4140,0,0,0.962947,0.994323,0.025171
4150,0,0,0.962856,0.994310,0.022717
4160,0,0,0.962768,0.994296,0.020495
4170,0,0,0.962678,0.994282,0.018041
4180,0,0,0.962587,0.994269,0.015587
4190,0,0,0.962499,0.994255,0.013365
4200,0,0,0.962408,0.994242,0.010912
4210,0,0,0.962321,0.994227,0.008690
4220,0,0,0.962230,0.994214,0.006236
4230,0,0,0.962142,0.994200,0.004014
4240,0,0,0.962051,0.994186,0.001560
4250,0,0,0.961978,0.994173,0.000401
4260,0,0,0.961919,0.994159,0.000337
4270,0,0,0.961858,0.994146,0.000041
4280,0,0,0.961805,0.994131,0.000409
4290,0,0,0.961744,0.994118,0.000113
4300,0,0,0.961685,0.994104,0.000049
4310,0,0,0.961629,0.994090,0.000185
4320,0,0,0.961570,0.994076,0.000121
4330,0,0,0.961515,0.994063,0.000256
4340,0,0,0.961456,0.994049,0.000193
4350,0,0,0.961400,0.994035,0.000328
4360,0,0,0.961342,0.994021,0.000264
4370,0,0,0.961286,0.994008,0.000400
4380,0,0,0.961224,0.993994,0.000104
4390,0,0,0.961166,0.993980,0.000040
4400,0,0,0.961110,0.993967,0.000175
4410,0,0,0.961051,0.993953,0.000112
4420,0,0,0.960995,0.993939,0.000247
4430,0,0,0.960932,0.993924,0.000000
4440,0,0,0.960856,0.993901,0.000000
4450,0,0,0.960780,0.993877,0.000000
4460,0,0,0.960706,0.993854,0.000000
4470,0,0,0.960630,0.993831,0.000000
4480,0,0,0.960555,0.993808,0.000000
4490,0,0,0.960479,0.993784,0.000000
4500,0,0,0.960403,0.993761,0.000000
4510,0,0,0.960329,0.993738,0.000000
4520,0,0,0.960253,0.993714,0.000000
4530,0,0,0.960178,0.993691,0.000000
4540,0,0,0.960102,0.993668,0.000000
4550,0,0,0.960028,0.993645,0.000000
4560,0,0,0.959952,0.993621,0.000000
4570,0,0,0.959876,0.993598,0.000000
4580,0,0,0.959801,0.993575,0.000000
4590,0,0,0.959725,0.993551,0.000000
4600,0,0,0.959651,0.993528,0.000000
4610,0,0,0.959575,0.993505,0.000000
4620,0,0,0.959499,0.993482,0.000000
4630,0,0,0.959424,0.993458,0.000000
4640,0,0,0.959348,0.993435,0.000000
4650,0,0,0.959274,0.993412,0.000000
4660,0,0,0.959198,0.993388,0.000000
4670,0,0,0.959123,0.993365,0.000000
4680,0,0,0.959047,0.993342,0.000000
4690,0,0,0.958973,0.993318,0.000000
4700,0,0,0.958896,0.993295,0.000000
4710,0,0,0.958822,0.993272,0.000000
4720,0,0,0.958746,0.993249,0.000000
4730,0,0,0.958672,0.993225,0.000000
4740,0,0,0.958596,0.993202,0.000000
4750,0,0,0.958519,0.993179,0.000000
4760,0,0,0.958445,0.993155,0.000000
4770,0,0,0.958369,0.993132,0.000000
4780,0,0,0.958294,0.993109,0.000000
4790,0,0,0.958218,0.993086,0.000000
4800,0,0,0.958144,0.993062,0.000000
4810,0,0,0.958068,0.993039,0.000000
4820,0,0,0.957992,0.993016,0.000000
4830,0,0,0.957917,0.992992,0.000000
